,titles
734,金田一少年の事件簿 黒魔術殺人事件編
735,"Kindaichi Shounen no Jikenbo (2012), Kindaichi Case Files: Black Magic Murder Case"
736,Shin Strange+ Special
738,真 ストレンジ・プラス
739,"Shin Strange Plus Special, Sin Strange Plus Special, Sin Strange+ Special"
740,School Days
741,School Days
742,スクールデイズ
744,Gaist Crusher
746,ガイストクラッシャー
748,Initial D Fourth Stage
750,頭文字〈イニシャル〉D FOURTH STAGE
751,Initial D 4th Stage
752,Hetalia Axis Powers
753,Hetalia Axis Powers
754,ヘタリア Axis Powers
756,Mugen Kouro
758,無限航路
759,Infinite Space
760,Wind: A Breath of Heart (TV)
762,Wind -a breath of heart-
763,"Wind: A Breath of Heart (2004), windtv"
764,Kitty-chan wo Sagase! Toyama-shi Stamp Rally
765,Toyama City Stamp Rally: The Search for Hello Kitty!
766,キティちゃんを探せ！富山市スタンプラリー
768,Ultra B: Black Hole kara no Dokusaisha BB!!
770,ウルトラB ブラックホールからの独裁者B・B
771,Ultra B: Dictator B.B. from the Black Hole
772,Brave Witches: Petersburg Daisenryaku
774,ブレイブウィッチーズ　第13話「ペテルブルグ大戦略」
775,"Brave Witches Episode 13, Brave Witches Episode 7.5"
776,Ginga Tetsudou 999: Glass no Clair
777,Galaxy Express 999: Claire of the Glass
778,銀河鉄道９９９ ガラスのクレア
779,"Galaxy Express 999: Glass no Clair, Ginga Tetsudo 999: Glass no Clair"
780,Takarajima
782,宝島
783,Treasure Island
784,Gundam Build Fighters: GM no Gyakushuu
786,ガンダムビルドファイターズ GMの逆襲
787,Gundam Build Fighters: GM&#039;s Counterattack
788,Urusei Yatsura Movie 2: Beautiful Dreamer
790,うる星やつら2 ビューティフル・ドリーマー
792,Kaette Kite yoo Toyama kara
794,帰ってきてよぉ富山から
796,Kuragehime: Eiyuu Retsuden☆
797,Princess Jellyfish Specials
798,海月姫 英雄列伝☆
799,"Kuragehime Heroes☆, Kuragehime Specials"
800,Tamayura: Sotsugyou Shashin Part 3 - Akogare
802,たまゆら～卒業写真～ 第3部 憧-あこがれ-
803,Tamayura Kanketsu-hen Movie 3
804,One Piece Movie 1
806,ONE PIECE
807,One Piece: The Movie
808,Ergo Proxy
809,Ergo Proxy
810,エルゴプラクシー
812,Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes
814,劇場版 探偵オペラ ミルキィホームズ〜逆襲のミルキィホームズ〜
816,xxxHOLiC Shunmuki
818,xxxHOLiC 春夢記
819,xxxHOLiC OVA
820,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen
821,Descending Stories: Showa Genroku Rakugo Shinju
822,昭和元禄落語心中～助六再び篇～
823,"Shouwa Genroku Rakugo Shinjuu 2nd Season, Showa and Genroku Era Lover&#039;s Suicide Through Rakugo 2nd Season"
824,Choujuushin Gravion Zwei
825,Super Heavy God Gravion Zwei
826,超重神グラヴィオンツヴァイ
827,Gravion Zwei
828,Inyouchuu The Animation
830,淫妖蟲～凌触学園退魔録～
831,"Inyouchuu ~Ryoushoku Gakuen Taimaroku~, Inyouchuu ~Ryoushoku Gakuen Taimaroku~ The Animation"
832,Berserk: Ougon Jidai-hen I - Haou no Tamago
833,Berserk: The Golden Age Arc I - The Egg of the King
834,ベルセルク 黄金時代篇Ⅰ 覇王の卵
835,"Berserk Movie, Berserk Saga, Berserk: Golden Age Arc I - Egg of the Supreme Ruler, The Golden Age Arc I: The High King&#039;s Egg"
836,Dragon Ball Z Movie 14: Kami to Kami
837,Dragon Ball Z: Battle of Gods
838,ドラゴンボールZ: 神と神
839,"Dragon Ball Z 2013, DBZ (2013), Saikyou Shidou"
840,Guin Saga
842,グイン・サーガ
844,Kuroshitsuji II
845,Black Butler II
846,黒執事II
847,"Kuroshitsuji 2, Black Butler 2"
848,Amai Choubatsu: Watashi wa Kanshu Senyou Pet
850,甘い懲罰~私は看守専用ペット
851,Amai Choubatsu: Watashi wa Kanshu Sen&#039;you Pet
852,E&#039;s Otherwise
853,E&#039;s Otherwise
854,エスアザーワイズ
856,Code Geass: Hangyaku no Lelouch I - Koudou
858,コードギアス 反逆のルルーシュⅠ 興道
